m/z	id	match_form	mz_difference	name	pathway
88.0751	C00555	M+H[1+]	-0.0006	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-	Beta-Alanine metabolism$Arginine and Proline Metabolism$Urea cycle/amino group metabolism$Aspartate and asparagine metabolism
88.5085	C00850	M(C13)+2H[2+]	0.0002	Aryl sulfate	
89.0591	C00246	M+H[1+]	-0.0006	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
89.0594	C00246	M+H[1+]	-0.0003	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
90.0544	C00041	M+H[1+]	-0.0006	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	Alanine and Aspartate Metabolism$Glycine, serine, alanine and threonine metabolism$Glutathione Metabolism$Tryptophan metabolism$Pyrimidine metabolism$Glutamate metabolism$Tyrosine metabolism$Selenoamino acid metabolism
90.0544	C00099	M+H[1+]	-0.0006	beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate	Pyrimidine metabolism$Beta-Alanine metabolism$Alanine and Aspartate Metabolism$Histidine metabolism
90.0544	C00133	M+H[1+]	-0.0006	D-Alanine; D-2-Aminopropionic acid; D-Ala	Glycine, serine, alanine and threonine metabolism$Alanine and Aspartate Metabolism
90.0544	C00213	M+H[1+]	-0.0006	Sarcosine; N-Methylglycine	Glycine, serine, alanine and threonine metabolism$Urea cycle/amino group metabolism
90.5254	C14788	M+H+Na[2+]	0.0007		Xenobiotics metabolism
91.542	C07480	M(C13)+2H[2+]	0.0007		Caffeine metabolism
91.542	C13747	M(C13)+2H[2+]	0.0007	1,7-Dimethylxanthine; Paraxanthine	Caffeine metabolism
91.542	CE5541	M(C13)+2H[2+]	-0.0	adrenochrome o-semiquinone	Tyrosine metabolism
91.9795	CE1950	M+H[1+]	-0.0006	cyanosulfurous acid anion	
92.5219	C05637	M+H+Na[2+]	-0.0002	4,8-Dihydroxyquinoline; Quinoline-4,8-diol	Tryptophan metabolism
92.5219	C05639	M+H+Na[2+]	-0.0002	4,6-Dihydroxyquinoline; Quinoline-4,6-diol	Tryptophan metabolism
95.0236	C04225	M+2H[2+]	0.0003	(Z)-But-2-ene-1,2,3-tricarboxylate; cis-2-Methylaconitate	Propanoate metabolism
95.0236	C16353	M+H+Na[2+]	0.0008		Caffeine metabolism
95.0236	C16358	M+H+Na[2+]	0.0008	1-Methylxanthine	Caffeine metabolism
95.0236	CE5542	M+H+Na[2+]	0.0001	noradrenochrome o-semiquinone	Tyrosine metabolism
96.0551	CE2061	M+H+Na[2+]	-0.0007		Linoleate metabolism
96.5144	C05379	M(C13)+2H[2+]	-0.0003	Oxalosuccinate; Oxalosuccinic acid	TCA cycle
96.9588	CE2011	M+Na[1+]	-0.0005	hypothiocyanite	Methionine and cysteine metabolism
97.0274	C05576	M+H+Na[2+]	0.0002	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
97.028	C05576	M+H+Na[2+]	0.0008	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
98.956	C14039	M(S34)+H[1+]	-0.0005	1,1-Dichloroethylene; Vinylidene chloride	Xenobiotics metabolism
98.9931	C00533	M+HCOONa[1+]	0.0004	Nitric oxide; NO; Nitrogen monoxide	Arginine and Proline Metabolism$Aspartate and asparagine metabolism
99.0436	C12205	M+2H[2+]	-0.0005	5-Hydroxyconiferyl alcohol	
100.0134	C00072	M+H+Na[2+]	-0.0009	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	Prostaglandin formation from arachidonate$Purine metabolism$D4&E4-neuroprostanes formation$Linoleate metabolism$Tyrosine metabolism$Ascorbate (Vitamin C) and Aldarate Metabolism$Porphyrin metabolism
100.0134	C02670	M+H+Na[2+]	-0.0009	D-Glucuronolactone; Glucurone; Glucofuranurono-6,3-lactone; D-Glucurono-3,6-lactone; D-Glucurone	
100.0134	glac	M+H+Na[2+]	-0.0009	D-glucurono-6,3-lactone	Ascorbate (Vitamin C) and Aldarate Metabolism
101.0702	C12448	M(C13)+2H[2+]	0.0008	Ecgonine methyl ester; Methyl ecgonine	
101.0702	egme	M(C13)+2H[2+]	0.0008	ecgonine methyl ester	Alkaloid biosynthesis II
102.0908	C12455	M+H[1+]	-0.0006	5-Aminopentanal	
102.0908	CE1936	M+2H[2+]	-0.0005	spermine dialdehyde	Aspartate and asparagine metabolism
103.0385	C00109	M+H[1+]	-0.0005	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	Methionine and cysteine metabolism$Propanoate metabolism$Glycine, serine, alanine and threonine metabolism$Aspartate and asparagine metabolism$Butanoate metabolism$Selenoamino acid metabolism
103.0385	C00164	M+H[1+]	-0.0005	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	Squalene and cholesterol biosynthesis$Valine, leucine and isoleucine degradation$Butanoate metabolism$Tyrosine metabolism$Propanoate metabolism
103.0385	C00232	M+H[1+]	-0.0005	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate	Butanoate metabolism$Aspartate and asparagine metabolism$Glutamate metabolism
103.0385	C00331	M(C13)+2H[2+]	0.0004	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate	Tryptophan metabolism
103.0385	C00349	M+H[1+]	-0.0005	2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde	Pyrimidine metabolism$Valine, leucine and isoleucine degradation
103.0385	C00794	M+H+Na[2+]	0.0007	D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol	Galactose metabolism$Hexose phosphorylation$Fructose and mannose metabolism
103.0385	C01507	M+H+Na[2+]	0.0007	L-Iditol	
103.0385	C01697	M+H+Na[2+]	0.0007	Galactitol; Dulcitol; Dulcose	Galactose metabolism
103.0385	C06002	M+H[1+]	-0.0005	(S)-Methylmalonate semialdehyde	Valine, leucine and isoleucine degradation$Propanoate metabolism
104.03	C00725	M+2H[2+]	0.001	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid	Ascorbate (Vitamin C) and Aldarate Metabolism$Lipoate metabolism
104.1066	C00114	M[1+]	-0.0009	Choline; Bilineurine	Glycine, serine, alanine and threonine metabolism$Glycerophospholipid metabolism
105.038	C14876	M(C13)+2H[2+]	0.0008		Xenobiotics metabolism
106.0227	C00168	M(C13)+H[1+]	0.001	Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid	Glycine, serine, alanine and threonine metabolism$Glyoxylate and Dicarboxylate Metabolism
106.0227	C01146	M(C13)+H[1+]	0.001	2-Hydroxy-3-oxopropanoate; Tartronate semialdehyde	Glycine, serine, alanine and threonine metabolism
108.0383	C00258	M(C13)+H[1+]	0.001	D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid	Glycine, serine, alanine and threonine metabolism$Glyoxylate and Dicarboxylate Metabolism$Glycerophospholipid metabolism
109.0101	C03356	M+2H[2+]	0.0011	3-Phospho-D-erythronate	
109.0279	C00472	M+H[1+]	-0.0005	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	
110.0345	C12205	M+H+Na[2+]	-0.0006	5-Hydroxyconiferyl alcohol	
110.0423	C16014	M+H+Na[2+]	-0.0004	cis-Stilbene oxide	
110.0423	C16632	M(Cl37)+H[1+]	-0.0005	alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid	Drug metabolism - other enzymes
110.0423	C16632	M(S34)+H[1+]	0.0009	alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid	Drug metabolism - other enzymes
110.0597	C00978	M+2H[2+]	-0.0003	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine	Tryptophan metabolism
112.0501	C00380	M+H[1+]	-0.0005	Cytosine	Pyrimidine metabolism
112.0501	C05522	M+H[1+]	-0.0004	Cytosine (in DNA)	Methionine and cysteine metabolism
113.0006	C00163	M+K[1+]	0.001	Propanoate; Propionate; Propanoic acid; Propionic acid	Bile acid biosynthesis$Propanoate metabolism
113.0006	C00424	M+K[1+]	0.001	(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde	Pyruvate Metabolism
113.0006	C00937	M+K[1+]	0.001	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
113.0006	C05235	M+K[1+]	0.001	Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol	Pyruvate Metabolism
113.0006	C05999	M+K[1+]	0.001	Lactaldehyde; 2-Hydroxypropionaldehyde; 2-Hydroxypropanal	
113.0006	C06206	M+H+Na[2+]	0.0008	Benzoyl phosphate	
113.0217	C00084	M+HCOONa[1+]	0.0008	Acetaldehyde; Ethanal	Glycine, serine, alanine and threonine metabolism$Glycolysis and Gluconeogenesis$Pentose phosphate pathway$C21-steroid hormone biosynthesis and metabolism$Tyrosine metabolism
113.0217	C00184	M+Na[1+]	0.0007	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one	Glycerophospholipid metabolism
113.0217	C00186	M+Na[1+]	0.0007	(S)-Lactate; L-Lactate; L-Lactic acid	Pyruvate Metabolism$Glycolysis and Gluconeogenesis
113.0217	C00256	M+Na[1+]	0.0007	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
113.0217	C00577	M+Na[1+]	0.0007	D-Glyceraldehyde	Galactose metabolism$Glycerophospholipid metabolism$Fructose and mannose metabolism
113.0217	C01013	M+Na[1+]	0.0007	3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid	Beta-Alanine metabolism$Propanoate metabolism
113.0217	C06548	M+HCOONa[1+]	0.0008	Ethylene oxide	
113.0592	C04221	M+H[1+]	-0.0005	trans-1,2-Dihydrobenzene-1,2-diol	
113.0593	C04221	M+H[1+]	-0.0004	trans-1,2-Dihydrobenzene-1,2-diol	
114.0382	C00106	M(C13)+H[1+]	0.0002	Uracil	Pyrimidine metabolism
115.0536	C00881	M(C13)+2H[2+]	-0.0007	Deoxycytidine; 2'-Deoxycytidine	Pyrimidine metabolism
115.111	C06424	M+2H[2+]	-0.0007	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
115.5266	C14876	M+H+Na[2+]	0.0001		Xenobiotics metabolism
115.5267	C14876	M+H+Na[2+]	0.0002		Xenobiotics metabolism
116.9714	C06755	M+Na[1+]	-0.0001	Chloroacetic acid; Chloroethanoic acid	Xenobiotics metabolism
117.5394	CE2176	M+H+Na[2+]	-0.0011	3-O-methyldopa	Tyrosine metabolism
118.0858	C00183	M+H[1+]	-0.0005	L-Valine; 2-Amino-3-methylbutyric acid	Valine, leucine and isoleucine degradation
118.0858	C00431	M+H[1+]	-0.0005	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid	Butanoate metabolism
118.0858	C00719	M+H[1+]	-0.0005	Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate	Glycine, serine, alanine and threonine metabolism
119.013	C00122	M(S34)+H[1+]	-0.0011	Fumarate; Fumaric acid; trans-Butenedioic acid	Purine metabolism$Arginine and Proline Metabolism$TCA cycle$Urea cycle/amino group metabolism$Tyrosine metabolism$Alanine and Aspartate Metabolism
119.0132	C00122	M(S34)+H[1+]	-0.0009	Fumarate; Fumaric acid; trans-Butenedioic acid	Purine metabolism$Arginine and Proline Metabolism$TCA cycle$Urea cycle/amino group metabolism$Tyrosine metabolism$Alanine and Aspartate Metabolism
119.0484	C16015	M+H+Na[2+]	0.0004	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol	
119.0612	C16622	M(S34)+H[1+]	-0.0005	N,N'-Diacetylhydrazine; Diacetylhydrazine	Drug metabolism - other enzymes
120.044	C15587	M[1+]	0.0004	Purine	
120.055	C07501	M+2H[2+]	0.0	Felbamate	Drug metabolism - cytochrome P450
121.0185	C00097	M[1+]	-0.0012	L-Cysteine; L-2-Amino-3-mercaptopropionic acid	Methionine and cysteine metabolism$Glutathione Metabolism$Aspartate and asparagine metabolism$Tyrosine metabolism$Vitamin B5 - CoA biosynthesis from pantothenate
121.0185	C00491	M+2H[2+]	-0.0007	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid	Methionine and cysteine metabolism
121.52	C00491	M(C13)+2H[2+]	-0.0009	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid	Methionine and cysteine metabolism
122.096	C02846	M+H[1+]	-0.0004	N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine	
122.096	C05332	M+H[1+]	-0.0004	Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine	Tyrosine metabolism
123.0265	C08276	M(S34)+H[1+]	-0.0011		Methionine and cysteine metabolism
123.0415	C00299	M+2H[2+]	-0.0005	Uridine	Pyrimidine metabolism
123.0547	C00153	M+H[1+]	-0.0006	Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP	Vitamin B3 (nicotinate and nicotinamide) metabolism
123.0995	C02846	M(C13)+H[1+]	-0.0003	N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine	
123.0995	C05332	M(C13)+H[1+]	-0.0003	Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine	Tyrosine metabolism
125.0957	C05127	M[1+]	0.0004	N-Methylhistamine; 1-Methylhistamine; 1-Methyl-4-(2-aminoethyl)imidazole; Ntau-Methylhistamine	Histidine metabolism
125.5283	C00627	M+2H[2+]	0.0009	Pyridoxine phosphate; Pyridoxine 5-phosphate; Pyridoxine 5'-phosphate	Vitamin B6 (pyridoxine) metabolism$Selenoamino acid metabolism
126.0213	C00245	M+H[1+]	-0.0007	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid	Methionine and cysteine metabolism$Bile acid biosynthesis
126.0544	C04051	M[1+]	0.0002	5-Amino-4-imidazolecarboxyamide	Purine metabolism
126.055	C04051	M[1+]	0.0008	5-Amino-4-imidazolecarboxyamide	Purine metabolism
126.9549	C07295	M(Cl37)+H[1+]	-0.0002	Methylarsonite	
126.9549	C07295	M(S34)+H[1+]	0.0012	Methylarsonite	
127.0152	C00246	M+K[1+]	0.0	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
127.0517	C07496	M+2H[2+]	-0.0005	Carbamazepine-10,11-epoxide; Carbamazepine epoxide	Drug metabolism - cytochrome P450
127.0517	C16601	M+2H[2+]	-0.0005	2-Hydroxycarbamazepine	Drug metabolism - cytochrome P450
127.0517	C16602	M+2H[2+]	-0.0005	3-Hydroxycarbamazepine	Drug metabolism - cytochrome P450
128.0176	C00245	M(S34)+H[1+]	-0.0002	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid	Methionine and cysteine metabolism$Bile acid biosynthesis
128.0187	C00245	M(Cl37)+H[1+]	-0.0005	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid	Methionine and cysteine metabolism$Bile acid biosynthesis
128.0187	C00245	M(S34)+H[1+]	0.0009	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid	Methionine and cysteine metabolism$Bile acid biosynthesis
128.0533	C00178	M(C13)+H[1+]	-0.0003	Thymine; 5-Methyluracil	Pyrimidine metabolism
128.0533	C02835	M(C13)+H[1+]	-0.0003	Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate	Histidine metabolism
128.0533	C16582	M+2H[2+]	0.0009	2-Hydroxyfelbamate	Drug metabolism - cytochrome P450
128.0533	C16584	M+2H[2+]	0.0009	p-Hydroxyfelbamate	Drug metabolism - cytochrome P450
128.0615	C00829	M[1+]	-0.0011	Naphthalene	Xenobiotics metabolism
128.0702	C00450	M+H[1+]	-0.0004	2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	Lysine metabolism
128.0702	C04092	M+H[1+]	-0.0004	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate	Lysine metabolism
128.0702	CE1938	M+H+Na[2+]	0.0008	spermic acid 2	Aspartate and asparagine metabolism
128.0703	C00450	M+H[1+]	-0.0003	2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	Lysine metabolism
128.0703	C04092	M+H[1+]	-0.0003	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate	Lysine metabolism
128.0703	CE1938	M+H+Na[2+]	0.0009	spermic acid 2	Aspartate and asparagine metabolism
129.0658	C00906	M+H[1+]	-0.0001	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	Pyrimidine metabolism
129.0658	C04441	M+2H[2+]	-0.0001	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine; 2-(3-Carboxy-3-aminopropyl)-L-histidine; EF-2 2-(3-carboxy-3-aminopropyl)-L-histidine; Elongation factor 2 2-(3-carboxy-3-aminopropyl)-L-histidine	Urea cycle/amino group metabolism
129.0734	C00450	M(C13)+H[1+]	-0.0006	2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	Lysine metabolism
129.0734	C04092	M(C13)+H[1+]	-0.0006	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate	Lysine metabolism
129.1269	C00249	M+2H[2+]	-0.0005	Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid	Phosphatidylinositol phosphate metabolism$Glycosphingolipid metabolism$Saturated fatty acids beta-oxidation$Fatty Acid Metabolism$Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism
129.958	C14860	M[1+]	-0.0008		Xenobiotics metabolism
130.0383	C02406	M+H+Na[2+]	0.0002	Formylkynurenine	Tryptophan metabolism
130.0383	C02700	M+H+Na[2+]	0.0002	L-Formylkynurenine; N-Formyl-L-kynurenine; N-Formylkynurenine	Tryptophan metabolism
130.0383	C15605	M+H+Na[2+]	0.0002	N-Formyl-D-kynurenine	Tryptophan metabolism
130.0491	C01879	M+H[1+]	-0.0008	5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	Glutathione Metabolism$Aspartate and asparagine metabolism
130.0491	C02238	M+H[1+]	-0.0008	5-Oxo-L-proline	Aspartate and asparagine metabolism
130.0491	C04281	M+H[1+]	-0.0008	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate	Arginine and Proline Metabolism$Aspartate and asparagine metabolism
130.0491	C04282	M+H[1+]	-0.0008	1-Pyrroline-4-hydroxy-2-carboxylate	Aspartate and asparagine metabolism
130.122	C00179	M[1+]	0.0002	Agmatine; (4-Aminobutyl) guanidine	Arginine and Proline Metabolism$Urea cycle/amino group metabolism
130.122	C01149	M[1+]	-0.0012	4-Trimethylammoniobutanal	Lysine metabolism
130.9657	C06611	M+K[1+]	0.0	trans-3-Chloro-2-propene-1-ol	3-Chloroacrylic acid degradation
130.9657	C06612	M+K[1+]	0.0	cis-3-Chloro-2-propene-1-ol	3-Chloroacrylic acid degradation
130.9657	C14860	M+H[1+]	-0.0004		Xenobiotics metabolism
131.0331	C00352	M(C13)+2H[2+]	0.0013	D-Glucosamine 6-phosphate; D-Glucosamine phosphate	Aminosugars metabolism$Hexose phosphorylation
131.0331	C00490	M+H[1+]	-0.0008	Itaconate; Itaconic acid; Methylenesuccinic acid	C5-Branched dibasic acid metabolism
131.0331	C01732	M+H[1+]	-0.0008	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid	C5-Branched dibasic acid metabolism
131.0331	C06377	M(C13)+2H[2+]	0.0013	D-Galactosamine 6-phosphate	
131.0331	C12214	M(C13)+2H[2+]	0.0013	Aminofructose 6-phosphate; Amino-D-fructose 6-phosphate	Pentose phosphate pathway
131.0614	C00906	M(S34)+H[1+]	-0.0003	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	Pyrimidine metabolism
131.0628	C00906	M(Cl37)+H[1+]	-0.0003	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	Pyrimidine metabolism
131.0628	C00906	M(S34)+H[1+]	0.0011	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	Pyrimidine metabolism
131.0692	C00233	M+H[1+]	-0.0011	4-Methyl-2-oxopentanoate; 2-Oxoisocaproate	Valine, leucine and isoleucine degradation
131.0692	C00300	M[1+]	-0.0003	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	Glycine, serine, alanine and threonine metabolism$Urea cycle/amino group metabolism
131.0692	C00671	M+H[1+]	-0.0011	(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (3S)-3-Methyl-2-oxopentanoate	Valine, leucine and isoleucine degradation
131.0692	C03465	M+H[1+]	-0.0011	3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	Valine, leucine and isoleucine degradation
131.0692	C06102	M+H[1+]	-0.0011	Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate	
131.1174	C02714	M+H[1+]	-0.0005	N-Acetylputrescine	Arginine and Proline Metabolism$Aspartate and asparagine metabolism
132.0649	C00430	M+H[1+]	-0.0006	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid	Glycine, serine, alanine and threonine metabolism$Porphyrin metabolism
132.0649	C01110	M+H[1+]	-0.0006	5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	
132.0649	C01157	M+H[1+]	-0.0006	trans-4-Hydroxy-L-proline	Arginine and Proline Metabolism$Aspartate and asparagine metabolism
132.0649	C01165	M+H[1+]	-0.0006	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde	Arginine and Proline Metabolism$Urea cycle/amino group metabolism$Aspartate and asparagine metabolism
132.0649	C03341	M+H[1+]	-0.0006	2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate	
132.0649	C03440	M+H[1+]	-0.0006	cis-4-Hydroxy-D-proline	Aspartate and asparagine metabolism
133.0289	C00490	M(S34)+H[1+]	-0.0008	Itaconate; Itaconic acid; Methylenesuccinic acid	C5-Branched dibasic acid metabolism
133.0289	C01732	M(S34)+H[1+]	-0.0008	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid	C5-Branched dibasic acid metabolism
133.0289	C14799	M+2H[2+]	-0.0012		Xenobiotics metabolism
133.0693	C00430	M(C13)+H[1+]	0.0004	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid	Glycine, serine, alanine and threonine metabolism$Porphyrin metabolism
133.0693	C01110	M(C13)+H[1+]	0.0004	5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	
133.0693	C01157	M(C13)+H[1+]	0.0004	trans-4-Hydroxy-L-proline	Arginine and Proline Metabolism$Aspartate and asparagine metabolism
133.0693	C01165	M(C13)+H[1+]	0.0004	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde	Arginine and Proline Metabolism$Urea cycle/amino group metabolism$Aspartate and asparagine metabolism
133.0693	C03341	M(C13)+H[1+]	0.0004	2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate	
133.0693	C03440	M(C13)+H[1+]	0.0004	cis-4-Hydroxy-D-proline	Aspartate and asparagine metabolism
133.0853	C06103	M+H[1+]	-0.0006	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	
133.0859	C06103	M+H[1+]	0.0	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	
134.0268	C02362	M(Cl37)+H[1+]	0.0004		Alanine and Aspartate Metabolism
134.0268	C05840	M(Cl37)+H[1+]	0.0004	Iminoaspartate	Vitamin B3 (nicotinate and nicotinamide) metabolism
134.0441	C00049	M+H[1+]	-0.0007	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	Purine metabolism$Pyrimidine metabolism$Vitamin B3 (nicotinate and nicotinamide) metabolism$Arginine and Proline Metabolism$Aspartate and asparagine metabolism$Nitrogen metabolism$Urea cycle/amino group metabolism$Beta-Alanine metabolism$Carbon fixation$Alanine and Aspartate Metabolism
134.0441	C00402	M+H[1+]	-0.0007	D-Aspartate; D-Aspartic acid	Alanine and Aspartate Metabolism$Aspartate and asparagine metabolism
134.0441	C16630	M(C13)+H[1+]	-0.0001	5,6-Dihydro-5-fluorouracil; 5-Fluorodihydrouracil	Drug metabolism - other enzymes
